Designator,Mid X,Mid Y,Rotation,Layer
D1,66.3125,-52.45,90.0,top
D10,142.5125,-69.356875,90.0,top
D11,66.3125,-90.788125,90.0,top
D12,85.3625,-86.025625,90.0,top
D13,104.4125,-83.644375,90.0,top
D14,123.4625,-88.406875,90.0,top
D15,142.5125,-88.406875,90.0,top
D16,113.9375,-112.219375,90.0,top
D17,135.36874955691098,-115.5531244610235,80.0,top
D18,154.41874880637818,-123.88749877278555,70.0,top
D2,85.3625,-47.925625,90.0,top
D3,104.4125,-45.544375,90.0,top
D4,123.4625,-47.449375,90.0,top
D5,142.5125,-50.306875,90.0,top
D6,66.3125,-71.5,90.0,top
D7,85.3625,-65.785,90.0,top
D8,104.4125,-64.594375,90.0,top
D9,123.4625,-66.975625,90.0,top
J1,149.275003,-65.816874,0.0,top
SW1,55.8875,-54.625,0.0,top
SW10,132.0875,-71.29375,0.0,top
SW11,55.8875,-92.725,0.0,top
SW12,74.9375,-87.9625,0.0,top
SW13,93.9875,-85.58125,0.0,top
SW14,113.0375,-87.9625,0.0,top
SW15,132.0875,-90.34375,0.0,top
SW16,103.5125,-114.15625,0.0,top
SW17,124.57973725105569,-116.34817332925314,350.0,top
SW18,144.49475688986675,-122.0516379791961,340.0,top
SW19,158.371875,-65.546875,180.0,top
SW2,74.9375,-49.8625,0.0,top
SW3,93.9875,-47.48125,0.0,top
SW4,113.0375,-49.8625,0.0,top
SW5,132.0875,-52.24375,0.0,top
SW6,55.8875,-73.675,0.0,top
SW7,74.9375,-68.9125,0.0,top
SW8,93.9875,-66.53125,0.0,top
SW9,113.0375,-68.9125,0.0,top
U2,156.8,-51.259375,0.0,top
