Designator,Mid X,Mid Y,Rotation,Layer
D1,149.60625,-52.45,90.0,top
D10,73.40625,-69.356875,90.0,top
D11,149.60625,-90.788125,90.0,top
D12,130.55625,-86.025625,90.0,top
D13,111.50625,-83.644375,90.0,top
D14,92.45625,-88.406875,90.0,top
D15,73.40625,-88.406875,90.0,top
D16,101.98125,-112.219375,90.0,top
D17,80.55000044308899,-115.5531244610235,100.0,top
D18,61.43752825392921,-122.68852111480568,110.0,top
D2,130.55625,-47.925625,90.0,top
D3,111.50625,-45.544375,90.0,top
D4,92.45625,-47.449375,90.0,top
D5,73.40625,-50.306875,90.0,top
D6,149.60625,-71.5,90.0,top
D7,130.55625,-65.785,90.0,top
D8,111.50625,-64.594375,90.0,top
D9,92.45625,-66.975625,90.0,top
J1,66.643747,-65.816874,0.0,top
SW1,158.23125,-54.625,0.0,top
SW10,82.03125,-71.29375,0.0,top
SW11,158.23125,-92.725,0.0,top
SW12,139.18125,-87.9625,0.0,top
SW13,120.13125,-85.58125,0.0,top
SW14,101.13125,-87.9625,0.0,top
SW15,82.03125,-90.34375,0.0,top
SW16,110.606249,-114.15625,0.0,top
SW17,89.56635682390684,-116.66074039634996,10.0,top
SW18,69.7325445133334,-122.6672749212226,20.0,top
SW19,57.16875,-65.546875,180.0,top
SW2,139.18125,-49.8625,0.0,top
SW3,120.13125,-47.48125,0.0,top
SW4,101.08125,-49.8625,0.0,top
SW5,82.03125,-52.24375,0.0,top
SW6,158.23125,-73.675,0.0,top
SW7,139.18125,-68.9125,0.0,top
SW8,120.13125,-66.53125,0.0,top
SW9,101.08125,-68.9125,0.0,top
U2,59.11875,-51.259375,0.0,top
